course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,Month-Year,price_log,price_sqrt,price_adjusted,price_boxcox
967380,How to play Piano - Go from a Beginner/Intermediate to a Pro,https://www.udemy.com/how-to-play-piano-go-from-a-beginnerintermediate-to-a-pro/,True,200,5316,159,291,All Levels,31.0,2016-10-16 18:25:57+00:00,Musical Instruments,Oct-2016,5.298317366548036,14.142135623730951,200.0,17.080263507713216
206088,Guitar Chord Mastery!Turn Your Brain Into A Chord Encyclopia,https://www.udemy.com/total-fretboard-mastery/,True,200,4133,173,224,Intermediate Level,28.5,2014-05-19 00:26:06+00:00,Musical Instruments,May-2014,5.298317366548036,14.142135623730951,200.0,17.080263507713216
574974,The Complete Piano Course - Master The Piano,https://www.udemy.com/the-complete-piano-course/,True,95,4982,276,240,All Levels,23.0,2015-08-20 21:25:34+00:00,Musical Instruments,Aug-2015,4.553876891600541,9.746794344808963,95.0,12.222505288149923
374566,Learn to Play Percussion: Beginner to Pro made the Easy Way!,https://www.udemy.com/percussion/,True,50,425,7,192,All Levels,6.0,2015-01-16 00:54:01+00:00,Musical Instruments,Jan-2015,3.912023005428146,7.0710678118654755,50.0,9.006980107920954
315812,Gibson's Learn & Master Guitar,https://www.udemy.com/learnandmasterguitar/,True,50,103,33,309,All Levels,38.0,2014-10-30 14:39:14+00:00,Musical Instruments,Oct-2014,3.912023005428146,7.0710678118654755,50.0,9.006980107920954
207440,Super-Curso de Guitarra Práctico Para Principiantes,https://www.udemy.com/super-curso-de-guitarra-practico-para-principiantes/,True,85,228,26,215,Beginner Level,10.5,2014-06-30 12:29:38+00:00,Musical Instruments,Jun-2014,4.442651256490317,9.219544457292887,85.0,11.607650884212498
1048182,Coach Guitar - Apprendre la GUITARE facile avec des COULEURS,https://www.udemy.com/coach-guitar-apprendre-la-guitare-facile-avec-des-couleurs/,True,50,25,1,321,All Levels,3.5,2016-12-27 14:51:32+00:00,Musical Instruments,Dec-2016,3.912023005428146,7.0710678118654755,50.0,9.006980107920954
1025536,Coach Guitar - Amazing New Way To Learn Guitar With Colors,https://www.udemy.com/coach-guitar-amazing-new-way-to-learn-guitar-with-colors/,True,50,12,0,321,All Levels,3.5,2016-12-27 14:50:10+00:00,Musical Instruments,Dec-2016,3.912023005428146,7.0710678118654755,50.0,9.006980107920954
1066002,Leve a sua técnica de pedal duplo para um novo patamar,https://www.udemy.com/leve-a-sua-tecnica-de-pedal-duplo-para-um-novo-patamar/,True,40,42,4,196,Intermediate Level,5.5,2017-01-16 15:41:04+00:00,Musical Instruments,Jan-2017,3.6888794541139363,6.324555320336759,40.0,8.060610974231809
965528,Web Development Masterclass - Complete Certificate Course,https://www.udemy.com/web-development-masterclass-complete-certificate-course/,True,200,4090,178,348,All Levels,19.5,2016-10-12 03:14:13+00:00,Web Development,Oct-2016,5.298317366548036,14.142135623730951,200.0,17.080263507713216
